#Table1
u,g,r,i,z,redshift,class
25.92735,20.9957,19.24612,18.56461,18.43049,0.3996609,GALAXY
19.38905,18.24496,17.58728,17.20807,16.90905,0.03212454,GALAXY
20.14134,19.28787,19.04397,18.96897,18.79573,-0.0008209134,STAR
21.50923,19.6934,18.47973,17.91998,17.55132,0.3120482,GALAXY
20.96947,20.29136,19.36779,18.86387,18.45551,0.2004682,GALAXY
25.27165,22.32081,21.33033,19.94852,19.47201,0.7527305,GALAXY
22.64928,22.0096,20.40414,19.57801,19.20975,0.5048684,GALAXY
21.41706,18.80885,17.70065,17.20334,16.81356,0.1106111,GALAXY
22.98776,21.34827,19.75467,19.14825,18.81528,0.2937785,GALAXY
19.78651,18.34659,17.64557,17.25275,17.00746,0.07429758,GALAXY
19.52808,17.96541,17.03493,16.53754,16.14154,0.1213151,GALAXY
18.72268,17.3852,16.81134,16.51803,16.29502,0.04876465,GALAXY
21.15835,19.97747,19.44971,19.12359,19.07743,0.0488077,GALAXY
20.75028,18.53424,17.398,16.89366,16.50811,0.1317873,GALAXY
20.169,20.1186,20.00968,19.54327,19.37404,1.837838,QSO
19.35777,20.15456,24.80203,17.77139,18.46624,-8.218954E-05,STAR
24.63467,21.49866,21.45066,19.92876,21.05994,-6.133055E-05,STAR
17.65612,16.17133,15.5894,15.3785,15.26744,-9.765775E-05,STAR
17.54884,15.75164,15.031,14.66728,14.36099,0.04028672,GALAXY
19.23401,17.5333,16.8743,16.63157,16.49762,-5.2202E-05,STAR
22.33754,21.00746,19.83828,19.30565,18.87624,0.3667441,GALAXY
24.21344,23.15401,21.48509,20.27396,19.88383,0.6265994,GALAXY
18.64558,16.44336,15.52452,15.18185,14.98858,0.0001671379,STAR
21.17529,18.88593,17.84707,17.4657,17.22915,8.201628E-05,STAR
23.45584,22.33025,22.16315,21.5689,21.88052,1.570309,QSO
22.70307,22.00335,20.28827,19.29591,18.85664,0.5112194,GALAXY
23.34163,22.46378,22.20699,22.2005,22.2284,2.276326,QSO
22.8178,23.30531,23.00124,22.92958,22.8532,0,GALAXY
22.90015,23.03041,21.75114,20.3216,19.39912,0.6881006,GALAXY
20.65226,19.77637,20.11424,19.77093,19.80214,0.04265009,GALAXY
22.19868,19.84683,18.37413,17.12478,16.43615,-0.0001077839,STAR
20.79859,19.54183,19.04607,18.82743,18.74658,-6.275329E-05,STAR
19.79918,18.29659,17.65989,17.40492,17.30932,-9.326459E-05,STAR
23.15027,21.05162,19.65687,18.86262,18.41304,0.0003130087,STAR
22.02289,19.26772,17.75936,17.04514,16.61452,-1.234244E-05,STAR
23.40751,20.02904,18.51576,17.8002,17.40633,-0.0001354448,STAR
21.30107,19.02937,17.60633,17.04571,16.68989,0.201277,GALAXY
20.47795,19.07143,18.49185,18.27523,18.21685,0.0001493801,STAR
23.3517,22.57222,20.95299,20.02961,19.64134,0.5083391,GALAXY
20.48714,19.25844,18.47575,18.04646,17.82076,0.19464,GALAXY
20.06968,18.75596,18.16277,17.92969,17.92194,-0.0003995959,STAR
22.2821,20.27493,18.59249,17.99164,17.71293,0.2994811,GALAXY
22.03606,20.82122,19.75666,19.30884,19.16476,0.3065799,GALAXY
22.95562,20.73321,19.23019,18.66667,18.31896,0.3097279,GALAXY
21.16108,20.64433,19.94781,19.27042,18.99279,0.4469347,QSO
21.70585,20.94496,19.33368,18.66559,18.27108,0.3311663,GALAXY
23.88601,20.90375,19.60435,19.35194,18.50815,0.2950576,GALAXY
23.34023,22.43101,20.86535,19.75755,19.40863,0.5315121,GALAXY
23.27591,20.35437,18.82604,17.39119,16.5816,-3.632986E-05,STAR
17.61444,16.17125,15.52131,15.15564,14.86996,0.0254747,GALAXY
19.46874,18.18264,17.59063,17.26436,16.95295,0.03616738,GALAXY
24.36765,22.57023,22.73506,22.40655,22.72089,0.0359273,GALAXY
22.38827,19.86009,18.49191,17.87029,17.45002,0.1603132,GALAXY
21.95547,19.46501,18.15706,17.61316,17.19836,0.1601027,GALAXY
20.53193,19.27795,18.45775,17.93195,17.68486,0.16669,GALAXY
22.98516,20.25446,18.94606,18.39507,17.95652,0.1643605,GALAXY
22.7861,21.08798,18.89296,18.15633,17.72626,0.3491151,GALAXY
22.25442,20.43562,19.43797,18.91736,18.53516,0.1647512,GALAXY
22.30194,20.78894,19.58793,19.08709,18.6004,0.3121592,GALAXY
16.4848,14.92993,14.56054,14.53054,14.19394,-0.0001421523,STAR
21.2,19.39919,18.10002,17.54482,17.11938,0.1598198,GALAXY
24.06832,21.39478,19.75345,18.41416,17.61762,0.0002120852,STAR
20.94042,19.30544,18.31758,17.76954,17.3976,0.177241,GALAXY
21.13446,19.76614,18.94912,18.453,18.17944,0.1600642,GALAXY
20.19031,18.32233,17.08584,16.46969,16.04961,0.1776698,GALAXY
22.54278,20.2562,18.67502,18.09108,17.70608,0.2456205,GALAXY
24.91026,22.35938,20.56165,19.45983,18.88576,0.499967,GALAXY
23.44216,21.65008,19.89881,19.24122,18.71173,0.3364788,GALAXY
21.94741,21.03773,20.00528,19.53531,19.15686,0.2452311,GALAXY
24.59084,22.52391,20.49731,19.67047,19.21177,0.3169449,GALAXY
19.77787,19.45023,19.15962,18.9185,18.72023,1.967009,QSO
20.19108,18.12336,16.78304,16.20603,15.78033,0.1593094,GALAXY
21.0615,18.95099,17.8576,17.32337,16.92929,0.135144,GALAXY
20.72111,18.83282,17.6603,17.12585,16.69701,0.1297809,GALAXY
20.41156,18.1079,16.81639,16.24067,15.76244,0.1315637,GALAXY
22.9423,20.56686,19.3359,18.776,18.31603,0.1333835,GALAXY
22.39327,21.63896,20.0725,19.42778,19.03903,0.2465844,GALAXY
22.39075,19.8304,18.47026,17.82543,17.31905,0.1355777,GALAXY
20.80197,19.00256,17.95014,17.38851,16.98455,0.1320954,GALAXY
24.10896,21.27812,19.3722,18.63174,18.16487,0.3272851,GALAXY
23.35666,24.19055,22.57578,21.2795,21.48138,0.1299547,GALAXY
21.94486,20.99007,19.98867,19.6284,19.26991,0.3261498,GALAXY
21.22626,20.34284,19.67066,19.4035,19.28424,0.1732017,GALAXY
24.73534,22.26351,20.34822,19.5885,19.22824,0.3937556,GALAXY
23.75402,22.39903,20.70438,19.41228,18.71345,-6.629725E-05,STAR
20.34944,18.90586,18.09445,17.62329,17.23389,0.1598828,GALAXY
22.02452,20.925,19.74058,19.23929,18.84511,0.3616371,GALAXY
22.1916,21.11599,20.08304,19.57032,19.05955,0.2699885,GALAXY
21.18203,20.00773,18.98668,18.46308,18.20817,0.2330052,GALAXY
